numero_amostra,accel_x,accel_y,accel_z,giro_x,giro_y,giro_z,data_hora
1,0.3445,-0.0405,0.9824,-0.1985,2.2061,-5.5191,26/07/2024-18:00:40
2,0.3237,-0.0615,0.9985,5.6870,-32.1679,-7.4046,26/07/2024-18:00:40
3,0.3557,-0.0466,0.9556,-1.3817,-1.5878,-8.8092,26/07/2024-18:00:40
4,0.3713,-0.0444,0.9668,6.1679,-36.9618,-44.2290,26/07/2024-18:00:40
5,0.3596,-0.0134,1.0229,-2.6870,-6.0763,-9.6336,26/07/2024-18:00:40
6,0.3950,0.0083,0.9771,-0.5878,1.1679,0.6107,26/07/2024-18:00:40
7,0.3213,-0.0068,0.9893,0.1908,0.0153,-0.0840,26/07/2024-18:00:40
8,0.4165,0.0073,0.9192,-6.2214,-13.2443,-13.8702,26/07/2024-18:00:40
9,0.3567,0.0068,0.9797,-4.8779,1.7405,-7.3282,26/07/2024-18:00:40
10,0.4758,-0.0227,0.9927,-10.5191,-14.1374,-19.1679,26/07/2024-18:00:41
11,0.4075,-0.0452,0.9780,-25.1527,-10.1069,-12.0687,26/07/2024-18:00:41
12,0.4302,-0.0330,0.9966,-35.4504,5.4885,17.7099,26/07/2024-18:00:41
13,0.4075,-0.0503,0.9958,-65.8092,3.3206,27.1527,26/07/2024-18:00:41
14,0.3618,-0.2065,1.0020,-152.1145,-18.6107,16.9313,26/07/2024-18:00:41
15,0.4292,-0.4211,0.8652,-87.2290,-6.6107,8.0916,26/07/2024-18:00:41
16,0.5266,-0.4314,0.8323,-113.4275,16.3130,-20.5114,26/07/2024-18:00:41
17,0.4556,-0.5745,0.7195,-109.2137,-33.9237,8.2901,26/07/2024-18:00:41
18,0.3557,-0.5879,0.7871,74.5191,41.0687,35.0458,26/07/2024-18:00:41
19,0.3525,-0.4819,0.7109,16.3359,8.9237,4.6870,26/07/2024-18:00:41
20,0.3655,-0.4399,0.6868,41.8092,2.6565,-16.1679,26/07/2024-18:00:42
21,0.3740,-0.5110,0.7878,-36.8626,-15.9389,11.0382,26/07/2024-18:00:42
22,0.4026,-0.5730,0.8501,-75.5725,-39.5420,-18.2595,26/07/2024-18:00:42
23,0.3723,-0.5312,0.7859,2.5344,-9.9389,-34.1374,26/07/2024-18:00:42
24,0.4309,-0.5261,0.7332,22.9618,-8.6718,-22.6947,26/07/2024-18:00:42
25,0.4807,-0.4666,0.7588,-13.8931,-20.8855,-20.5344,26/07/2024-18:00:42
26,0.5730,-0.5610,0.7732,-19.3969,-7.8321,-9.5878,26/07/2024-18:00:42
27,0.5188,-0.5479,0.6843,-38.1756,-9.1069,-3.2366,26/07/2024-18:00:42
28,0.5403,-0.5303,0.6743,-17.3435,-17.0382,-11.3511,26/07/2024-18:00:42
29,0.5315,-0.5242,0.6868,25.5496,3.7634,-27.4351,26/07/2024-18:00:42
30,0.5840,-0.5159,0.6455,-1.0305,0.3817,1.3359,26/07/2024-18:00:43
31,0.5664,-0.5286,0.6648,8.4275,7.1069,2.1603,26/07/2024-18:00:43
32,0.5681,-0.5122,0.6804,-0.9847,0.0076,-0.7023,26/07/2024-18:00:43
33,0.6167,-0.4888,0.6257,6.0153,0.0229,-6.8321,26/07/2024-18:00:43
34,0.5769,-0.4829,0.7183,12.6107,7.9542,1.1450,26/07/2024-18:00:43
35,0.5930,-0.4741,0.7219,23.0916,16.3817,10.7099,26/07/2024-18:00:43
36,0.5715,-0.4597,0.7195,5.3664,7.2748,-0.3817,26/07/2024-18:00:43
37,0.5286,-0.4624,0.7251,-7.5038,-4.3053,-8.0305,26/07/2024-18:00:43
38,0.5603,-0.4907,0.7183,-5.8779,1.4351,-1.9924,26/07/2024-18:00:43
39,0.5659,-0.4856,0.7129,0.0916,2.9313,0.4580,26/07/2024-18:00:43
40,0.5696,-0.4861,0.7024,-3.5878,2.1908,0.6565,26/07/2024-18:00:44
41,0.5652,-0.4919,0.6982,-4.6641,-0.7710,-3.6718,26/07/2024-18:00:44
42,0.5579,-0.4927,0.7141,-3.2061,4.5954,-0.3282,26/07/2024-18:00:44
43,0.5525,-0.5022,0.7219,0.1985,3.3817,1.8702,26/07/2024-18:00:44
44,0.5652,-0.4978,0.7053,0.6870,1.0534,-2.1221,26/07/2024-18:00:44
45,0.5388,-0.5186,0.7100,18.1527,14.6336,26.7405,26/07/2024-18:00:44
46,0.5547,-0.5051,0.7070,-48.9771,-3.9924,19.1069,26/07/2024-18:00:44
47,0.4648,-0.6038,0.6196,72.7099,40.0229,10.2443,26/07/2024-18:00:44
48,0.5417,-0.8142,0.4653,-250.1374,-96.7023,8.2214,26/07/2024-18:00:44
49,0.3955,-0.7949,0.5049,-86.6641,-13.6870,63.1221,26/07/2024-18:00:44
50,0.4565,-0.7820,0.4492,-52.4809,-32.1145,37.6718,26/07/2024-18:00:45
51,0.2466,-0.6045,0.5178,217.7481,75.8931,20.1374,26/07/2024-18:00:45
52,0.0818,-0.5605,0.8921,14.8092,16.6794,-44.6412,26/07/2024-18:00:45
53,0.0608,-0.6033,0.8691,18.0076,32.5878,34.2290,26/07/2024-18:00:45
54,0.0054,-0.3711,0.8218,-11.5649,16.6260,28.7786,26/07/2024-18:00:45
55,0.0364,-0.5740,0.8350,7.0611,-4.1221,35.7634,26/07/2024-18:00:45
56,-0.0359,-0.6536,0.9824,-10.2443,6.1832,44.0076,26/07/2024-18:00:45
57,-0.0405,-0.6260,0.7166,-54.8015,8.7099,4.0000,26/07/2024-18:00:45
58,-0.1689,-0.7517,0.7039,-43.3359,2.4504,27.8626,26/07/2024-18:00:45
59,-0.1982,-0.5491,0.7839,73.0611,63.0992,10.1908,26/07/2024-18:00:45
60,-0.1162,-0.8760,0.6733,15.9924,65.4809,-15.0458,26/07/2024-18:00:46
61,-0.2693,-0.4731,0.7275,-58.4962,63.8321,-75.1221,26/07/2024-18:00:46
62,-0.4084,-0.6426,0.6040,4.5802,122.3664,-56.3664,26/07/2024-18:00:46
63,-0.3550,-0.6140,0.5054,32.6870,90.8855,-48.5115,26/07/2024-18:00:46
64,-0.1658,-0.6704,0.4475,47.8397,25.6260,-63.1374,26/07/2024-18:00:46
65,-0.1890,-0.8459,0.6272,46.5573,-43.6031,-71.3511,26/07/2024-18:00:46
66,0.0127,-0.5696,0.7324,86.3130,-41.1527,-9.7634,26/07/2024-18:00:46
67,-0.0002,-0.5676,0.8862,136.9618,-37.4656,12.5420,26/07/2024-18:00:46
68,0.1265,-0.4099,0.9729,102.6870,-40.8855,18.7557,26/07/2024-18:00:46
69,0.1768,-0.1680,1.0349,235.4962,17.9771,11.7710,26/07/2024-18:00:46
70,0.0193,0.2219,1.0723,111.6718,66.8473,51.0382,26/07/2024-18:00:47
71,-0.0554,0.3347,0.9636,89.8626,82.5343,38.8092,26/07/2024-18:00:47
72,-0.2312,0.5640,1.0020,-30.1832,103.0076,12.6641,26/07/2024-18:00:47
73,-0.1851,0.3066,0.8247,-73.7481,27.5191,12.3664,26/07/2024-18:00:47
74,-0.3008,0.2515,0.9604,-81.3130,47.0305,20.9542,26/07/2024-18:00:47
75,-0.2830,0.1663,0.9331,-162.0992,-81.9924,-13.0611,26/07/2024-18:00:47
76,-0.1516,-0.4182,0.7278,-250.1374,-100.9466,40.2443,26/07/2024-18:00:47
77,-0.0754,-0.9536,0.5969,-250.1374,-128.5038,-123.6260,26/07/2024-18:00:47
78,0.1189,-0.8853,0.6516,165.5420,-1.9389,20.1832,26/07/2024-18:00:47
79,0.3494,-0.5764,0.5706,48.3969,-21.0763,-3.0916,26/07/2024-18:00:47
80,0.3728,-1.2114,0.3210,-153.4886,-58.2061,-92.3893,26/07/2024-18:00:48
